,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
Zonas verdes de Madrid,,,,,,,,,,,,,
,Parques de Madrid (por distritos),https://www.madrid.es/portales/munimadrid/es/Inicio/Medio-ambiente/Parques-y-jardines/Planos-con-las-zonas-verdes-en-cada-distrito/?vgnextfmt=default&vgnextoid=945d51b45e981610VgnVCM2000001f4a900aRCRD&vgnextchannel=2ba279ed268fe410VgnVCM1000000b205a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,PDF,,,,,,si,,MGDS
,Parques Históricos,https://www.madrid.es/portales/munimadrid/es/Inicio/Medio-ambiente/Una-nueva-forma-de-conocer-los-parques-historicos-de-Madrid/?vgnextfmt=default&vgnextoid=3cfc439b510f4610VgnVCM1000001d4a900aRCRD&vgnextchannel=3edd31d3b28fe410VgnVCM1000000b205a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,,,,,,,si,,MGDS
,Parques Forestales,https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Parques-y-jardines/Patrimonio-Verde/Parques-forestales/?vgnextfmt=default&vgnextchannel=e2491914e7d4e210VgnVCM1000000b205a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,,,,,,,si,,MGDS
,Indice Vegetacion 2018,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=29aa4aa8-6b37-11e9-8086-40a8f0462086,Geoportal Ayto Madrid,Ayuntamiento de Madrid,SHP,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=29aa4aa8-6b37-11e9-8086-40a8f0462086,,5/10/2018,5/10/2018,semestrales,https://datos.madrid.es/egob/catalogo/aviso-legal,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/xml?id=29aa4aa8-6b37-11e9-8086-40a8f0462086,MGDS
,Indice Vegetacion 2017,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=1465d19f-6d7c-11e9-a351-40a8f0462086,Geoportal Ayto Madrid,Ayuntamiento de Madrid,"XML,SHP",https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=1465d19f-6d7c-11e9-a351-40a8f0462086,,,10/11/2017,,si,,MGDS
,Colecciones botánicas,https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Parques-y-jardines/Patrimonio-Verde/Rosaledas-y-colecciones-botanicas/?vgnextfmt=default&vgnextchannel=16aa1914e7d4e210VgnVCM1000000b205a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,,,,,,,si,,MGDS
,Inventario zonas verdes,https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=79c6adbb460dd510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV, XLS",https://datos.madrid.es/egob/catalogo/300153-0-zonas-verdes-inventario.dcat,https://datos.madrid.es/egob/catalogo/300153-0-zonas-verdes-inventario.dcat,11/08/2017,2/04/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/ZonasVerdes/Ficheros/Estructura_DS_inventario_zonas_verdes.pdf,MGDS
"nos han pedido la información, pero no hemos encontrado nada",Huertos urbanos,no arroja ningún resultado buscando por las palabras clave,,,,,,,,,,,
,Concesiones de zonas verdes,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=3700f63898aed510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-concesiones-de-zonas-verdes.rdf,https://datos.madrid.es/egob/catalogo/300156-0-concesion_zonas-verdes.dcat,16/08/2017,2/04/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/ZonasVerdes/Ficheros/Estructura_DS_Concesiones_Zonas_Verdes.pdf,MGDS
,Superficie de parques y zonas verdes de Madrid,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=559b401daf436610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-superficie-de-parques-y-zonas-verdes-de-madrid.rdf,https://datos.madrid.es/egob/catalogo/300266-0-arbolado-superficie.dcat,02/10/2018,14/01/2020,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/MedioAmbiente/ZonasVerdes/ficheros/Estructura_DS_Superficie.pdf,MGDS
,Planes de gestión del arbolado de zonas verdes y del viario,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=8ec815647a88d510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-planes-de-gestion-del-arbolado-de-zonas-verdes-y-del-viario1.rdf,https://datos.madrid.es/egob/catalogo/300142-0-poda-arbolado.dcat,28/7/2017,28/11/2019,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://transparencia.madrid.es/portales/transparencia/es/Medio-ambiente-y-urbanismo/Medio-ambiente/Zonas-verdes/Planes-de-gestion-del-arbolado-de-Madrid/?vgnextfmt=default&vgnextoid=4bcda4ef78c17610VgnVCM2000001f4a900aRCRD&vgnextchannel=2bd9508929a56510VgnVCM1000008a4a900aRCRD,MGDS
