,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha Creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
Movilidad,,,,,,,,,,,,,
,Transporte público,,,,,,,,,,,,
,"EMT. Calendario, grupos, líneas y paradas en formato xlsx",https://datos.madrid.es/sites/v/index.jsp?vgnextoid=b1b25a92842a8410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,XLS,http://datos.gob.es/apidata/catalog/dataset/l01280796-emt-calendario-grupos-lineas-y-paradas-en-formato-xlsx.rdf,https://datos.madrid.es/egob/catalogo/208789-0-transportes-emt-xls.dcat,23/09/2014,23/09/2014,diario,https://datos.madrid.es/egob/catalogo/aviso-legal,http://www.emtmadrid.es/ https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Calidad-y-Evaluacion/Modelos-de-Calidad-y-Excelencia/Cartas-de-Servicios/Cartas-de-Servicios-vigentes/Carta-de-Servicios-del-Transporte-en-Autobus-Urbano/?vgnextfmt=default&vgnextoid=d7d5d8e3623fb610VgnVCM1000001d4a900aRCRD&vgnextchannel=5ef34225faf07410VgnVCM2000000c205a0aRCRD,MADAME
,EMT. Flota de autobuses,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=5112ab3b632a4610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,XLS,http://datos.gob.es/apidata/catalog/dataset/l01280796-emt-flota-de-autobuses1.rdf,https://datos.madrid.es/egob/catalogo/300241-0-EMT-flota-autobuses.dcat,07/08/2018,07/08/2018,semestral,http://opendata.emtmadrid.es/Documentos/terminosycondiciones.aspx?lang=es-ES,,MADAME
Tráfico,Datos del tráfico en tiempo real,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=02f2c23866b93410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,XLS,http://datos.gob.es/apidata/catalog/dataset/l01280796-trafico-datos-del-trafico-en-tiempo-real1.rdf,https://datos.madrid.es/egob/catalogo/202087-0-trafico-intensidad.dcat,12/03/2014,12/06/2018,diario,https://datos.madrid.es/egob/catalogo/aviso-legal,Informo: información de movilidad de madrid ,MADAME
,Mapa de tramas de intensidad del tráfico,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=23d57fa19bfa7410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,KML,https://datos.madrid.es/egob/catalogo/208223-0-trafico-intensidad-tramas.dcat,,,,tiempo real,https://datos.madrid.es/egob/catalogo/aviso-legal,http://informo.munimadrid.es/informo/tmadrid/tmadrid.php,MADAME
,(nota para mí: incluir los que surgen de aquí),,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Estudio del Parque Circulante de la ciudad de Madrid,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=ab2b41fd9b1b8410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,XLS,http://datos.gob.es/apidata/catalog/dataset/l01280796-estudio-del-parque-circulante-de-la-ciudad-de-madrid1.rdf,https://datos.madrid.es/egob/catalogo/208999-0-estudio-parque-circulante.dcat,26/09/2014,02/10/2018,sin definir,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Transporte/ficheros/EstudioPCMadrid2017.pdf,
,Aforos de tráfico de la Ciudad de Madrid  permanentes,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=fabbf3e1de124610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,"CSV,XLSX,RSS",http://datos.gob.es/apidata/catalog/dataset/l01280796-aforos-de-trafico-en-la-ciudad-de-madrid-permanentes1.rdf,https://datos.madrid.es/egob/catalogo/300233-0-aforo-trafico-permanentes.dcat,21/06/2018,02/10/2020,mensual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Transporte/ficheros/Estructura_DS_AforosPermanentes.pdf,
,Aforos de tráfico de la Ciudad de Madrid no permanentes,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=2255a8f043cf2610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,"CSV,JSON,XLS,KML",http://datos.gob.es/apidata/catalog/dataset/l01280796-aforos-de-trafico-de-la-ciudad-de-madrid-no-permanentes1.rdf,https://datos.madrid.es/egob/catalogo/300209-0-aforos-no-permanentes.dcat,25/04/2018,10/07/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Transporte/Trafico/ficheros/ESTRUCTURA_Aforos_de_trafico_no_permanentes.pdf,
,Tráfico. Carriles bus,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=db02df9735527410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,KML,http://datos.gob.es/apidata/catalog/dataset/l01280796-trafico-carriles-bus.rdf,https://datos.madrid.es/egob/catalogo/207764-0-trafico-carril-bus.dcat,11/07/2014,11/07/2017,semestral,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Ruta verde Madrid RIo,https://datos.crtm.es/datasets/ruta-verde-05-madrid-r%C3%ADo,CRTM datos abiertos,CRTM,KML,,,31/03/2016,13/05/2019,sin definir,http://www.crtm.es/licencia-de-uso,https://www.arcgis.com/home/item.html?id=9d6ac82749bc4005a6bc115b496d7e65,
,Zona de bajas emisiones. Madrid Central,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=019f24aaef3d3610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,"RSS,ZIP,XLS,CSV;KMZ",http://datos.gob.es/apidata/catalog/dataset/l01280796-zona-de-bajas-emisiones-madrid-central1.rdf,https://datos.madrid.es/egob/catalogo/300229-0-trafico-madrid-central.dcat,06/06/2018,03/03/2020,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Transporte/ficheros/Listado_calles_por_numeros_Madrid_Central.pdf,MADAME
,"Estaciones de suministro de combustibles menos contaminantes
",https://datos.madrid.es/sites/v/index.jsp?vgnextoid=b37508f780f13410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Portal de Datos Abiertos Ayto Madrid,Ayto Madrid,"XLS,ZIP",http://datos.gob.es/apidata/catalog/dataset/l01280796-estaciones-de-suministro-de-combustibles-menos-contaminantes.rdf,https://datos.madrid.es/egob/catalogo/200792-0-combustibles-limpios.dcat,01/06/2015,14/03/2018,semestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Transporte/Ficheros/Suministro%20de%20combustibles%20alternativos.pdf,
,Impuestos de matriculación,https://www.europeandataportal.eu/data/datasets/http-datos-gob-es-catalogo-ea0028512-estadistica-del-impuesto-de-matriculacion?locale=es,european data portal,Agencia Tributaria española,"XML, CSV, ",https://www.europeandataportal.eu/data/api/metrics/http-datos-gob-es-catalogo-ea0028512-estadistica-del-impuesto-de-matriculacion.rdf?useNormalizedId=true&locale=es,,05/04/2016,22/09/2020,sin definir,https://www.crtm.es/licencia-de-uso,https://www.arcgis.com/home/item.html?id=868df0e58fca47e79b942902dffd7da0,
,GTFS Red de EMT,https://datos.crtm.es/datasets/gtfs-red-de-emt,CRTM datos abiertos,CRMT,CSV,,,05/04/2016,16/04/2019,sin definir,https://www.crtm.es/licencia-de-uso,https://www.arcgis.com/home/item.html?id=868df0e58fca47e79b942902dffd7da0,MADAME
,GTFS Red de autobuses urbanos ,https://datos.crtm.es/datasets/gtfs-red-de-autobuses-urbanos,CRTM datos abiertos,CRTM,CSV,,,05/04/2016,16/04/2019,sin definir,https://www.crtm.es/licencia-de-uso,https://www.arcgis.com/home/item.html?id=868df0e58fca47e79b942902dffd7da0,MADAME
,GTFS REd de autobuses interurbanos,https://datos.crtm.es/datasets/gtfs-red-de-autobuses-interurbanos,CRTM datos abiertos,CRMT,CSV,,,05/04/2016,16/04/2019,sin definir,https://www.crtm.es/licencia-de-uso,https://www.arcgis.com/home/item.html?id=868df0e58fca47e79b942902dffd7da0,MADAME
,Evolución movilidad municipal ,https://www.mitma.gob.es/ministerio/covid-19/evolucion-movilidad-big-data/movilidad-municipal,mitma.gob.es,Ministerio Transporte,visualización,,,,diaria,,sin dataset,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Gasolineras en España ,https://comunidadsig.maps.arcgis.com/apps/webappviewer/index.html?id=e1d144bbc8774e82bdfd62e03404cbbd,ESRI,ESRI,,,,,2016,,si,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Autobuses urbanos,,,,,,,,,,,,
,Autobuses interurbanos,,,,,,,,,,,,
,Red de tren de cercanías,,,,,,,,,,,,
,Metro ligero,,,,,,,,,,,,
,Uso de la tarjeta de trasnporte público,,,,,,,,,,,,
