,,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha Creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
Energía,,,,,,,,,,,,,,
,Necesidades energéticas,,,,,,,,,,,,,
,,Catastro o registro municipal (edificios),Check: http://datos.comunidad.madrid/catalogo/dataset?q=edificios,,,,,,,,,,,
,,Catastro o registro municipal (unidades/pisos),,,,,,,,,,,,
,,Certificados energéticos ,,,,,,,,,,,,
,,Catastro.datos catastrales estadisticos a nivel de distrito o barrio,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=3ed1854c8410b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos abiertos Ayto Madrid,Ayto Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-catastro-datos-catastrales-estadisticos-a-nivel-de-distrito-y-barrio.rdf,https://datos.madrid.es/egob/catalogo/211328-0-valores-catastrales-barrio.dcat,9/4/2015,31/10/2019,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Hacienda/Ficheros/Notas_informaci%C3%B3n_agregada_por_barrio_y_uso__datos_2017.pdf,MADAME
,Consumo de energía,,,,,,,,,,,,,
,,Puntos de luz por distrito y potencia segun tipo de lampara,https://www.madrid.es/UnidadesDescentralizadas/UDCEstadistica/Nuevaweb/Energ%C3%ADa%20Gas%20y%20Electricidad/Electricidad/Alumbrado%20P%C3%BAblico/H1200320.xls,Portal web Ayto Madrid,Ayto Madrid,XLS,,,01/06/2020,01/06/2020,sin definir,si,,
,,Alumbrado publico vial por mes segun hora y consumo,https://www.madrid.es/UnidadesDescentralizadas/UDCEstadistica/Nuevaweb/Energ%C3%ADa%20Gas%20y%20Electricidad/Electricidad/Alumbrado%20P%C3%BAblico/H1200220.xls,Portal web Ayto Madrid,Ayto Madrid,XLS,,,01/06/2020,01/06/2020,sin definir,si,,
,,"Alumbrado publico por distrito y año segun puntos de luz ,potencia y consumo",https://www.madrid.es/UnidadesDescentralizadas/UDCEstadistica/Nuevaweb/Energ%C3%ADa%20Gas%20y%20Electricidad/Electricidad/Alumbrado%20P%C3%BAblico/H1200120.xls,Portal web Ayto Madrid,Ayto Madrid,XLS,,,01/06/2020,01/06/2020,sin definir,si,,
,,Consumo de energia en edificios municipales,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=d6fe4f894ef31710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos abiertos Ayto Madrid,Ayto  Madrid,CSV,https://datos.gob.es/images/PNG/export-dts-rdf.png,https://datos.madrid.es/egob/catalogo/300430-0-consumo-energia-edificios.dcat,16/04/2020,03/04/2020,mensual,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/Energia/ficheros/Estructura_DS_Consumo_energ%C3%ADa_edificios_municipales.pdf,MADAME
